"date","city_name","industry_name","detection_count"
"2023-04-23","Abu Dhabi","Professional Services",2
"2023-04-23","Adalaj","Hospitality & Healthcare",4
"2023-04-23","Agartala","Professional Services",3
"2023-04-23","Ahmedabad","Telecom",1
"2023-04-23","Ahmedabad","IT/ITES",6
"2023-04-23","Ahmedabad","Education",28
"2023-04-23","Ahmedabad","Hospitality & Healthcare",51
"2023-04-23","Ahmedabad","Government",5
"2023-04-23","Ahmedabad","Automobiles",221
"2023-04-23","Ahmedabad","Professional Services",280
"2023-04-23","Ahmedabad","Manufacturing",387
"2023-04-23","Alabang","Professional Services",3
"2023-04-23","Allahabad","Education",1
"2023-04-23","Allahabad","Government",8
"2023-04-23","Allahabad","Professional Services",6
"2023-04-23","Ambala","Professional Services",1
"2023-04-23","Ambala","Manufacturing",1
"2023-04-23","Ambala","Hospitality & Healthcare",116
"2023-04-23","Ambato","Professional Services",8
"2023-04-23","Amman","Professional Services",11
"2023-04-23","Amnat Charoen","Professional Services",26
"2023-04-23","Amravati","Manufacturing",3
"2023-04-23","Amravati","Government",55
"2023-04-23","Amritsar","Education",1
"2023-04-23","Amritsar","Media & Entertainment",8
"2023-04-23","Amta","Manufacturing",1
"2023-04-23","Anand","Professional Services",2
"2023-04-23","Anand","Manufacturing",32
"2023-04-23","Andagaw","Professional Services",146
"2023-04-23","Andheri East","Professional Services",1
"2023-04-23","Antipolo City","Professional Services",1
"2023-04-23","Antofagasta","Professional Services",1
"2023-04-23","Anuppur","Government",1
"2023-04-23","Araghar","Manufacturing",3
"2023-04-23","Arjunganj","Manufacturing",2
"2023-04-23","Arjuni","Manufacturing",1
"2023-04-23","Aurangabad","Government",3
"2023-04-23","Aurangabad","Manufacturing",1
"2023-04-23","Aurangabad","Professional Services",2
"2023-04-23","Aurangabad","Hospitality & Healthcare",963
"2023-04-23","Ayutthaya","Professional Services",3
"2023-04-23","Bacheli","Professional Services",1
"2023-04-23","Bacolod City","Professional Services",3
"2023-04-23","Baguio City","Professional Services",33
"2023-04-23","Bahtarai","Government",2
"2023-04-23","Balasore","Manufacturing",1
"2023-04-23","Ballia","Professional Services",10
"2023-04-23","Ban Mueang Chang Tai","Professional Services",2
"2023-04-23","Bang Kapi","Professional Services",1
"2023-04-23","Bangkok","Professional Services",292
"2023-04-23","Bapatla","Professional Services",1
"2023-04-23","Baramati","Education",1
"2023-04-23","Bareilly","Automobiles",3
