"date","feed_geo_location","sample_count","url_count","source_city","source_country"
"2023-05-20","20.4143, 72.8324",358430,0,NULL,NULL
"2023-05-20","27.0834, 93.6097",120199,0,NULL,NULL
"2023-05-20","11.6661, 92.7464",96288,0,NULL,NULL
"2023-05-20","23.7289, 92.7179",27961,0,NULL,NULL
"2023-05-20","27.3257, 88.6122",12280,0,NULL,NULL
"2023-05-20","15.5017, 73.8225",8983,0,NULL,NULL
"2023-05-20","25.5689, 91.8831",2803,0,NULL,NULL
"2023-05-20","24.8086, 93.9418",2602,0,NULL,NULL
"2023-05-20","23.1701, 79.957",2195,0,NULL,NULL
"2023-05-20","12.9172, 74.856",1439,0,NULL,NULL
"2023-05-20","25.3144, 83.0053",1273,0,NULL,NULL
"2023-05-20","34.0857, 74.8055",794,0,NULL,NULL
"2023-05-20","9.9406, 76.2625",666,0,NULL,NULL
"2023-05-20","32.7376, 74.8673",440,0,NULL,NULL
"2023-05-20","30.322, 78.03",296,0,NULL,NULL
"2023-05-20","17.6801, 83.2016",213,0,NULL,NULL
"2023-05-20","26.2684, 73.0059",130,0,NULL,NULL
"2023-05-20","23.3426, 85.3099",84,0,NULL,NULL
"2023-05-20","21.2333, 81.6333",0,94994,NULL,NULL
"2023-05-24","25.5908, 85.1348",0,8734,NULL,NULL
"2023-05-24","19.0748, 72.8856",0,0,NULL,NULL
"2023-05-24","21.198, 72.83",0,0,NULL,NULL
"2023-05-24","22.5655, 88.3653",0,0,NULL,NULL
"2023-05-24","18.5213, 73.8523",0,0,NULL,NULL
"2023-05-24","23.0276, 72.5871",0,0,NULL,NULL
"2023-05-24","28.6331, 77.2207",0,0,NULL,NULL
"2023-05-24","12.9721, 77.5933",0,0,NULL,NULL
"2023-05-24","17.3846, 78.4574",0,0,NULL,NULL
"2023-05-24","13.086, 80.2751",0,0,NULL,NULL
"2023-05-24","11.0075, 76.9671",0,0,NULL,NULL
"2023-05-24","30.7366, 76.7925",0,0,NULL,NULL
"2023-05-24","26.9204, 75.7882",0,0,NULL,NULL
"2023-05-24","23.2526, 77.4045",0,0,NULL,NULL
"2023-05-24","21.1463, 79.0849",0,0,NULL,NULL
"2023-05-24","20.2713, 85.8334",0,0,NULL,NULL
"2023-05-24","22.2916, 70.7932",0,0,NULL,NULL
"2023-05-24","26.8371, 80.9206",0,0,NULL,NULL
"2023-05-24","31.6243, 74.8769",0,0,NULL,NULL
"2023-05-24","26.1833, 91.7454",0,0,NULL,NULL
"2023-05-24","8.4827, 76.9479",0,0,NULL,NULL
