"date","vdb","update_type"
"2023-05-01","2023-05-01 00:02:00","ENGINE"
"2023-05-01","2023-05-01 08:49:00","ENGINE"
"2023-05-01","2023-05-01 08:40:00","Vulnerability Scanner"
"2023-05-01","2023-05-01 11:52:00","ENGINE"
"2023-05-01","2023-05-01 18:06:00","ENGINE"
"2023-05-02","2023-05-02 00:02:00","ENGINE"
"2023-05-02","2023-05-02 08:16:00","ENGINE"
"2023-05-02","2023-05-02 11:14:00","ENGINE"
"2023-05-02","2023-05-02 14:47:00","Vulnerability Scanner"
"2023-05-02","2023-05-02 15:34:00","ENGINE"
"2023-05-03","2023-05-03 00:26:00","ENGINE"
"2023-05-03","2023-05-03 08:25:00","ENGINE"
"2023-05-03","2023-05-03 10:39:00","Product"
"2023-05-03","2023-05-03 12:08:00","Product"
"2023-05-03","2023-05-03 12:51:00","Product"
"2023-05-03","2023-05-03 13:25:00","ENGINE"
"2023-05-03","2023-05-03 14:21:00","Vulnerability Scanner"
"2023-05-03","2023-05-03 15:14:00","Product"
"2023-05-03","2023-05-03 15:54:00","Product"
"2023-05-03","2023-05-03 16:40:00","Product"
"2023-05-03","2023-05-03 20:07:00","ENGINE"
"2023-05-04","2023-05-04 00:03:00","ENGINE"
"2023-05-04","2023-05-04 08:36:00","ENGINE"
"2023-05-04","2023-05-04 11:27:00","Vulnerability Scanner"
"2023-05-04","2023-05-04 14:18:00","ENGINE"
"2023-05-04","2023-05-04 18:54:00","ENGINE"
"2023-05-05","2023-05-05 00:02:00","ENGINE"
"2023-05-05","2023-05-05 08:45:00","ENGINE"
"2023-05-05","2023-05-05 10:39:00","Vulnerability Scanner Dummy"
"2023-05-05","2023-05-05 13:38:00","ENGINE"
"2023-05-05","2023-05-05 17:22:00","Application Control"
"2023-05-05","2023-05-05 22:02:00","ANDROID"
"2023-05-06","2023-05-06 00:34:00","Vulnerability Scanner"
"2023-05-06","2023-05-06 09:15:00","ENGINE"
"2023-05-06","2023-05-06 15:42:00","ENGINE"
"2023-05-06","2023-05-06 19:44:00","ENGINE"
"2023-05-07","2023-05-07 00:02:00","ENGINE"
"2023-05-07","2023-05-07 08:24:00","Vulnerability Scanner"
"2023-05-07","2023-05-07 09:24:00","ENGINE"
"2023-05-07","2023-05-07 17:19:00","ENGINE"
"2023-05-08","2023-05-08 00:03:00","ENGINE"
"2023-05-08","2023-05-08 08:19:00","NONPE"
"2023-05-08","2023-05-08 11:08:00","ENGINE"
"2023-05-08","2023-05-08 13:06:00","Vulnerability Scanner"
"2023-05-08","2023-05-08 14:29:00","ENGINE"
"2023-05-08","2023-05-08 16:16:00","Product"
"2023-05-09","2023-05-09 00:08:00","ENGINE"
"2023-05-09","2023-05-09 08:19:00","ENGINE"
"2023-05-09","2023-05-09 12:18:00","Vulnerability Scanner"
"2023-05-12","2023-05-12 18:32:00","ENGINE"
"2023-05-12","2023-05-12 20:19:00","Vulnerability Scanner"
"2023-05-13","2023-05-13 00:04:00","Vulnerability Scanner"
"2023-05-13","2023-05-13 01:28:00","ENGINE"
"2023-05-13","2023-05-13 08:55:00","ENGINE"
"2023-05-14","2023-05-14 10:44:00","Vulnerability Scanner"
"2023-05-14","2023-05-14 13:00:00","ENGINE"
"2023-05-14","2023-05-14 17:53:00","ENGINE"
"2023-05-15","2023-05-15 12:34:00","ENGINE"
"2023-05-15","2023-05-15 16:15:00","Vulnerability Scanner"
"2023-05-16","2023-05-16 02:06:00","ENGINE"
"2023-05-16","2023-05-16 03:13:00","ENGINE"
"2023-05-16","2023-05-16 14:12:00","Vulnerability Scanner"
"2023-05-17","2023-05-17 00:02:00","ENGINE"
"2023-05-17","2023-05-17 08:26:00","Vulnerability Scanner"
"2023-05-18","2023-05-18 00:02:00","ENGINE"
"2023-05-18","2023-05-18 11:55:00","ENGINE"
"2023-05-18","2023-05-18 16:14:00","Vulnerability Scanner"
"2023-05-18","2023-05-18 20:16:00","ENGINE"
"2023-05-19","2023-05-19 00:03:00","Product"
"2023-05-19","2023-05-19 08:14:00","Vulnerability Scanner"
"2023-05-19","2023-05-19 09:35:00","ENGINE"
